movieId,title,genres,vote_count,year_released,average_rating,score
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,215.0,1995,3.9209302325581397,3.8474206839160057
2,Jumanji,Adventure|Children|Fantasy,110.0,1995,3.4318181818181817,3.3983635438516298
3,Grumpier Old Men,Comedy|Romance,52.0,1995,3.2596153846153846,3.2604532342743457
5,Father of the Bride Part II,Comedy,49.0,1995,3.0714285714285716,3.1391553356272803
6,Heat,Action|Crime|Thriller,102.0,1995,3.946078431372549,3.802913220989716
7,Sabrina,Comedy|Romance,54.0,1995,3.185185185185185,3.210812413674979
10,GoldenEye,Action|Adventure|Thriller,132.0,1995,3.496212121212121,3.456451606966499
11,"American President, The",Comedy|Drama|Romance,70.0,1995,3.6714285714285713,3.5574825310069413
16,Casino,Crime|Drama,82.0,1995,3.926829268292683,3.762163353281407
17,Sense and Sensibility,Drama|Romance,67.0,1995,3.7761194029850746,3.628466016039078
19,Ace Ventura: When Nature Calls,Comedy,88.0,1995,2.727272727272727,2.8528330913710724
21,Get Shorty,Comedy|Crime|Thriller,89.0,1995,3.49438202247191,3.4403086681695974
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,36.0,1995,3.2222222222222223,3.239298500121799
24,Powder,Drama|Sci-Fi,28.0,1995,3.125,3.1922873728667875
25,Leaving Las Vegas,Drama|Romance,76.0,1995,3.625,3.5298621893948865
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,38.0,1995,4.0131578947368425,3.7011662385795905
31,Dangerous Minds,Drama,38.0,1995,3.1842105263157894,3.216550853964205
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,177.0,1995,3.983050847457627,3.887626497586634
34,Babe,Children|Drama,128.0,1995,3.65234375,3.5843600355333765
36,Dead Man Walking,Crime|Drama,67.0,1995,3.8358208955223883,3.67101920752844
39,Clueless,Comedy|Romance,104.0,1995,3.293269230769231,3.286838209982239
44,Mortal Kombat,Action|Adventure|Fantasy,46.0,1995,2.5434782608695654,2.8092576096941553
45,To Die For,Comedy|Drama|Thriller,32.0,1995,3.3125,3.289420432333446
47,Seven (a.k.a. Se7en),Mystery|Thriller,203.0,1995,3.9753694581280787,3.891633936989884
48,Pocahontas,Animation|Children|Drama|Musical|Romance,68.0,1995,3.1470588235294117,3.179745321133403
50,"Usual Suspects, The",Crime|Mystery|Thriller,204.0,1995,4.237745098039215,4.123704785747503
52,Mighty Aphrodite,Comedy|Drama|Romance,28.0,1995,3.4642857142857144,3.3650146455940604
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,37.0,1994,4.027027027027027,3.7043094610573957
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,34.0,1995,3.235294117647059,3.247144352584808
62,Mr. Holland's Opus,Drama,80.0,1995,3.70625,3.594166406613769
65,Bio-Dome,Comedy,31.0,1996,2.532258064516129,2.871996646684023
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,55.0,1996,3.5090909090909093,3.4277537257033335
95,Broken Arrow,Action|Adventure|Thriller,84.0,1996,3.0238095238095237,3.0817640135826427
104,Happy Gilmore,Comedy,99.0,1996,3.4393939393939394,3.4013952818069315
110,Braveheart,Action|Drama|War,237.0,1995,4.031645569620253,3.9529386572260354
111,Taxi Driver,Crime|Drama|Thriller,104.0,1976,4.105769230769231,3.9318763779211707
112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,46.0,1995,3.5434782608695654,3.439394595995525
135,Down Periscope,Comedy,31.0,1996,2.9516129032258065,3.096134577718505
141,"Birdcage, The",Comedy,86.0,1996,3.494186046511628,3.4387239425457814
145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,51.0,1995,3.2450980392156863,3.2509718654829913
150,Apollo 13,Adventure|Drama|IMAX,201.0,1995,3.845771144278607,3.776648269770497
